,Accuracy,Precision (macro),Recall (macro),F1-score (macro),Precision (apache2),Recall (apache2),F1-score (apache2),Precision (back),Recall (back),F1-score (back),Precision (buffer_overflow),Recall (buffer_overflow),F1-score (buffer_overflow),Precision (ftp_write),Recall (ftp_write),F1-score (ftp_write),Precision (guess_passwd),Recall (guess_passwd),F1-score (guess_passwd),Precision (httptunnel),Recall (httptunnel),F1-score (httptunnel),Precision (imap),Recall (imap),F1-score (imap),Precision (ipsweep),Recall (ipsweep),F1-score (ipsweep),Precision (land),Recall (land),F1-score (land),Precision (loadmodule),Recall (loadmodule),F1-score (loadmodule),Precision (mailbomb),Recall (mailbomb),F1-score (mailbomb),Precision (mscan),Recall (mscan),F1-score (mscan),Precision (multihop),Recall (multihop),F1-score (multihop),Precision (named),Recall (named),F1-score (named),Precision (neptune),Recall (neptune),F1-score (neptune),Precision (nmap),Recall (nmap),F1-score (nmap),Precision (normal),Recall (normal),F1-score (normal),Precision (perl),Recall (perl),F1-score (perl),Precision (phf),Recall (phf),F1-score (phf),Precision (pod),Recall (pod),F1-score (pod),Precision (portsweep),Recall (portsweep),F1-score (portsweep),Precision (processtable),Recall (processtable),F1-score (processtable),Precision (ps),Recall (ps),F1-score (ps),Precision (rootkit),Recall (rootkit),F1-score (rootkit),Precision (saint),Recall (saint),F1-score (saint),Precision (satan),Recall (satan),F1-score (satan),Precision (sendmail),Recall (sendmail),F1-score (sendmail),Precision (smurf),Recall (smurf),F1-score (smurf),Precision (snmpgetattack),Recall (snmpgetattack),F1-score (snmpgetattack),Precision (snmpguess),Recall (snmpguess),F1-score (snmpguess),Precision (spy),Recall (spy),F1-score (spy),Precision (sqlattack),Recall (sqlattack),F1-score (sqlattack),Precision (teardrop),Recall (teardrop),F1-score (teardrop),Precision (udpstorm),Recall (udpstorm),F1-score (udpstorm),Precision (warezclient),Recall (warezclient),F1-score (warezclient),Precision (warezmaster),Recall (warezmaster),F1-score (warezmaster),Precision (worm),Recall (worm),F1-score (worm),Precision (xlock),Recall (xlock),F1-score (xlock),Precision (xsnoop),Recall (xsnoop),F1-score (xsnoop),Precision (xterm),Recall (xterm),F1-score (xterm),Model,Dataset
Value,0.8571909507137085,0.975063287933356,0.1111111111111111,0.0928521316711959,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8178657395025408,1.0,0.8998087391496248,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2844126260982753,1.0,0.4428680010134278,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,Adaboost,NSL_KDD
Value,0.9981147320226232,0.8863753668903986,0.8546745751053098,0.8574663213582585,1.0,0.9932432432432432,0.9966101694915256,0.9962121212121212,1.0,0.9981024667931688,0.875,0.7,0.7777777777777777,0.3333333333333333,0.5,0.4,0.9884615384615384,1.0,0.9941972920696324,1.0,0.9629629629629628,0.981132075471698,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.995,1.0,0.9974937343358397,1.0,0.8,0.888888888888889,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.999890996293874,0.999945495176323,1.0,1.0,1.0,0.9996107939802802,0.9999351112841476,0.999772926330814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9935587761674718,0.9983818770226536,0.9959644874899112,0.9927536231884058,1.0,0.9963636363636365,1.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.7534246575342466,0.859375,0.8029197080291972,0.9918509895227008,0.9748283752860412,0.9832660126947488,0.5,0.6666666666666666,0.5714285714285715,0.9954887218045112,1.0,0.9977392614920876,1.0,1.0,1.0,1.0,0.9848484848484848,0.9923664122137404,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9948186528497408,0.9948186528497408,0.9948186528497408,1.0,0.0,0.0,1.0,0.5,0.6666666666666666,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,CNN,NSL_KDD
Value,0.99983167250202,0.9780368350902704,0.9873176973313618,0.9787002323417102,1.0,1.0,1.0,0.9961832061068704,0.9923954372623576,0.9942857142857144,1.0,0.9,0.9473684210526316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,0.8333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.984375,0.9921259842519684,0.9988571428571428,1.0,0.9994282447112636,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.6666666666666666,0.8000000000000002,DecisionTree,NSL_KDD
Value,0.9941422030702936,0.8491754203469647,0.720316360456092,0.7087791636695835,1.0,0.9932432432432432,0.9966101694915256,0.9961832061068704,0.9923954372623576,0.9942857142857144,0.8333333333333334,0.5,0.625,0.5,0.5,0.5,0.992248062015504,0.9961089494163424,0.9941747572815534,1.0,0.925925925925926,0.9615384615384616,0.3333333333333333,0.5,0.4,0.9959839357429718,0.9946524064171124,0.9953177257525084,0.625,1.0,0.7692307692307693,1.0,0.0,0.0,0.9833333333333332,1.0,0.991596638655462,0.9800995024875622,0.9899497487437184,0.985,1.0,0.0,0.0,0.5,0.3333333333333333,0.4000000000000001,0.9938251543711408,1.0,0.9969030154849224,0.9966887417218544,0.9616613418530352,0.9788617886178862,0.9966316880424926,0.9983777821036922,0.9975039709552984,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,0.9411764705882352,1.0,0.9696969696969696,0.9813242784380306,0.9352750809061487,0.9577464788732394,0.9927536231884058,1.0,0.9963636363636365,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.8571428571428571,0.9767711962833914,0.9622425629290616,0.9694524495677234,1.0,0.0,0.0,1.0,1.0,1.0,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9846153846153846,0.9696969696969696,0.9770992366412214,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9947916666666666,0.9896373056994818,0.9922077922077922,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.6666666666666666,0.5714285714285715,KNN,NSL_KDD
Value,0.9960611365472664,0.9098007281334224,0.7963558120690312,0.815830268561493,1.0,0.9932432432432432,0.9966101694915256,0.9962121212121212,1.0,0.9981024667931688,0.875,0.7,0.7777777777777777,0.6666666666666666,1.0,0.8,0.996124031007752,1.0,0.9980582524271844,1.0,0.9629629629629628,0.981132075471698,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.8333333333333334,1.0,0.909090909090909,1.0,0.0,0.0,1.0,1.0,1.0,0.995,1.0,0.9974937343358397,1.0,0.6,0.7499999999999999,1.0,0.3333333333333333,0.5,0.9996730957829356,1.0,0.9998365211705086,0.9871794871794872,0.9840255591054312,0.9856,0.9988968918305108,0.9988968918305108,0.9988968918305108,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882352,1.0,0.9696969696969696,0.9871589085072232,0.9951456310679612,0.9911361804995972,0.9927536231884058,1.0,0.9963636363636365,1.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.8333333333333334,0.3125,0.4545454545454545,0.9538968166849616,0.994279176201373,0.9736694677871148,1.0,1.0,1.0,0.9954887218045112,1.0,0.9977392614920876,0.8421052631578947,0.4444444444444444,0.5818181818181818,0.7738095238095238,0.9848484848484848,0.8666666666666668,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9948186528497408,0.9948186528497408,0.9948186528497408,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,LogisticRegression,NSL_KDD
Value,0.9942095340694856,0.9580836832805824,0.4800899392777055,0.475938212705158,1.0,0.995475113122172,0.9977324263038548,0.9924050632911392,0.9924050632911392,0.9924050632911392,1.0,0.0,0.0,1.0,0.0,0.0,0.9973890339425588,0.9922077922077922,0.9947916666666664,0.975,0.975,0.975,1.0,0.0,0.0,0.987676056338028,1.0,0.9937998228520816,1.0,0.0,0.0,1.0,0.0,0.0,0.967032967032967,1.0,0.9832402234636872,0.9581993569131833,0.9966555183946488,0.9770491803278688,1.0,0.0,0.0,1.0,0.0,0.0,0.9997820401046208,0.9999273361430024,0.99985468284531,0.985200845665962,0.9914893617021276,0.9883351007423118,0.9978825461302452,0.9989185447938748,0.9984002767088936,1.0,0.0,0.0,1.0,0.0,0.0,0.935897435897436,1.0,0.966887417218543,0.984930032292788,0.988120950323974,0.986522911051213,0.9809523809523808,1.0,0.9903846153846152,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3020833333333333,0.464,0.9454545454545454,0.9923664122137404,0.9683426443202978,1.0,0.0,0.0,0.995987963891675,1.0,0.9979899497487438,1.0,0.0,0.0,0.6447368421052632,0.98989898989899,0.7808764940239042,1.0,0.0,0.0,1.0,0.0,0.0,0.9963235294117648,1.0,0.998158379373849,1.0,0.0,0.0,0.9888059701492538,0.99250936329588,0.9906542056074766,0.9896907216494846,0.9965397923875432,0.993103448275862,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,LSTM,NSL_KDD
Value,0.9990910315109076,0.9816281363317808,0.8487444114054449,0.8671890684727354,1.0,0.9932432432432432,0.9966101694915256,1.0,1.0,1.0,0.875,0.7,0.7777777777777777,1.0,1.0,1.0,1.0,0.9961089494163424,0.9980506822612086,1.0,0.9629629629629628,0.981132075471698,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.7499999999999999,1.0,0.6666666666666666,0.8000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.9988332901218564,0.9999351112841476,0.999383897013522,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,0.9795918367346936,1.0,0.9896907216494846,1.0,0.9983818770226536,0.9991902834008096,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.2,0.3333333333333333,1.0,0.9375,0.967741935483871,0.9954441913439636,1.0,0.997716894977169,1.0,0.6666666666666666,0.8000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9897435897435898,1.0,0.9948453608247424,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.5,RandomForest,NSL_KDD
Value,0.9933005655803931,0.8954845905634414,0.6740467212640159,0.6724565614830854,0.9864864864864864,0.9864864864864864,0.9864864864864864,0.996138996138996,0.9809885931558936,0.9885057471264368,0.75,0.6,0.6666666666666665,1.0,0.0,0.0,0.9884169884169884,0.9961089494163424,0.992248062015504,1.0,0.9629629629629628,0.981132075471698,1.0,0.5,0.6666666666666666,1.0,0.9959893048128342,0.9979906229068988,0.625,1.0,0.7692307692307693,1.0,0.0,0.0,1.0,1.0,1.0,0.970731707317073,1.0,0.9851485148514852,1.0,0.0,0.0,0.5,0.3333333333333333,0.4000000000000001,0.997716150081566,1.0,0.9988567695574064,0.9867109634551494,0.9488817891373802,0.96742671009772,0.9970834143496012,0.9982480046719876,0.9976653696498056,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,0.9056603773584908,1.0,0.9504950495049505,0.9568,0.9676375404530744,0.9621882542236524,0.9927536231884058,1.0,0.9963636363636365,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.296875,0.4578313253012048,0.946607341490545,0.9736842105263158,0.9599548787366048,1.0,0.0,0.0,0.9954887218045112,1.0,0.9977392614920876,0.8823529411764706,0.4166666666666667,0.5660377358490566,0.7647058823529411,0.9848484848484848,0.8609271523178808,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9947916666666666,0.9896373056994818,0.9922077922077922,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.3333333333333333,0.4000000000000001,SVM,NSL_KDD
Value,0.9960274710476704,0.91860473457057,0.6790005747421362,0.668268681263703,1.0,0.9932432432432432,0.9966101694915256,0.9962121212121212,1.0,0.9981024667931688,0.6153846153846154,0.8,0.6956521739130435,1.0,0.0,0.0,0.9961089494163424,0.9961089494163424,0.9961089494163424,0.9629629629629628,0.9629629629629628,0.9629629629629628,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.5555555555555556,1.0,0.7142857142857143,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,1.0,0.5882352941176471,1.0,0.0,0.0,0.9993464052287584,1.0,0.9996730957829356,0.9936305732484076,0.9968051118210862,0.9952153110047848,0.9996754089846794,0.9992213354097722,0.9994483206230732,1.0,0.0,0.0,1.0,0.0,0.0,0.9591836734693876,0.9791666666666666,0.9690721649484536,0.9983844911147012,1.0,0.9991915925626516,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.4,0.4444444444444445,1.0,0.3125,0.4761904761904761,0.9519125683060108,0.9965675057208238,0.9737283398546672,1.0,0.6666666666666666,0.8000000000000002,0.993993993993994,1.0,0.9969879518072288,0.7777777777777778,0.1944444444444444,0.3111111111111111,0.6914893617021277,0.9848484848484848,0.8125000000000001,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9948186528497408,0.9948186528497408,0.9948186528497408,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Transformer,NSL_KDD
