,Accuracy,Precision (macro),Recall (macro),F1-score (macro),AUC-ROC (macro),Precision (BENIGN),Recall (BENIGN),F1-score (BENIGN),Precision (Bot),Recall (Bot),F1-score (Bot),Precision (DDoS),Recall (DDoS),F1-score (DDoS),Precision (DoS GoldenEye),Recall (DoS GoldenEye),F1-score (DoS GoldenEye),Precision (DoS Hulk),Recall (DoS Hulk),F1-score (DoS Hulk),Precision (DoS Slowhttptest),Recall (DoS Slowhttptest),F1-score (DoS Slowhttptest),Precision (DoS slowloris),Recall (DoS slowloris),F1-score (DoS slowloris),Precision (FTP-Patator),Recall (FTP-Patator),F1-score (FTP-Patator),Precision (Heartbleed),Recall (Heartbleed),F1-score (Heartbleed),Precision (Infiltration),Recall (Infiltration),F1-score (Infiltration),Precision (PortScan),Recall (PortScan),F1-score (PortScan),Precision (SSH-Patator),Recall (SSH-Patator),F1-score (SSH-Patator),Precision (Web Attack � Brute Force),Recall (Web Attack � Brute Force),F1-score (Web Attack � Brute Force),Precision (Web Attack � Sql Injection),Recall (Web Attack � Sql Injection),F1-score (Web Attack � Sql Injection),Precision (Web Attack � XSS),Recall (Web Attack � XSS),F1-score (Web Attack � XSS),Model,Dataset
Value,0.8600319183540701,0.1629155141012645,0.2588809016852398,0.1964549833451569,0.6446717531761925,0.9010613159856026,0.9928004430496584,0.9447089466351688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5781501610305958,0.890413082228939,0.7010831426392068,0.0,0.0,0.0,0.0,0.0,0.0,0.4645212345027697,1.0,0.6343659942363112,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adaboost,CICIDS
Value,0.981758762299748,0.8862649504917652,0.7447986824876428,0.7757873955469179,0.9945846432780346,0.9851945347259474,0.9937361944835224,0.989446930419461,0.8389423076923077,0.6017241379310345,0.7008032128514057,0.9991698661409152,0.994525924395786,0.9968424866711528,0.9948353776630084,0.9890885750962772,0.9919536530415192,0.9533659549228944,0.9965899403239556,0.9744988821946876,0.9532587228439764,0.9354005167958656,0.944245190740137,0.9485549132947976,0.9915407854984896,0.9695716395864106,0.9965870307167236,0.9948892674616696,0.9957374254049446,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.9547636632200888,0.765167209233501,0.8495153606045672,0.996629213483146,0.912551440329218,0.9527389903329752,0.6726726726726727,0.4705882352941176,0.553770086526576,0.0,0.0,0.0,1.0,0.0261780104712041,0.0510204081632653,CNN,CICIDS
Value,0.9966201105960804,0.8829978119660293,0.8866501747207202,0.8842004524262543,0.9431163500429888,0.9987841132620776,0.998745965765502,0.9987650391495322,0.9070945945945946,0.9258620689655171,0.916382252559727,0.9991735537190082,0.9989671555463748,0.99907034397273,0.995195387572069,0.9971116816431322,0.9961526130169924,0.9968226906385615,0.9968999457490506,0.9968613166970202,0.9871216999356084,0.9903100775193798,0.9887133182844242,0.99455205811138,0.992749244712991,0.9936498336861204,1.0,0.9977285633162976,0.9988629903354178,1.0,1.0,1.0,0.8181818181818182,0.75,0.7826086956521738,0.987414865265028,0.9868304232021308,0.9871225577264652,1.0,1.0,1.0,0.7606263982102908,0.7142857142857143,0.7367280606717227,0.4,0.5,0.4444444444444445,0.4,0.450261780104712,0.4236453201970442,DecisionTree,CICIDS
Value,0.989397820606652,0.8333613495076679,0.802641704466856,0.8113960346436283,0.96337294010402,0.994782309544742,0.9939780894120044,0.9943800368720528,0.7779661016949152,0.7913793103448276,0.7846153846153846,0.9975193798449612,0.9967981821937616,0.9971586506173477,0.9882128066263142,0.9955070603337612,0.9918465227817744,0.9944892890406704,0.993024877935364,0.9937565439950364,0.9800899165061014,0.9857881136950905,0.9829307568438004,0.9915305505142166,0.990332326283988,0.99093107617896,0.9988603988603988,0.9954571266325952,0.9971558589306028,1.0,1.0,1.0,0.8000000000000002,0.3333333333333333,0.4705882352941176,0.9009427121102248,0.9192068659366676,0.909983153885593,0.9611451942740288,0.9670781893004116,0.964102564102564,0.7235772357723578,0.7478991596638656,0.7355371900826446,0.0,0.0,0.0,0.391304347826087,0.3298429319371728,0.3579545454545454,KNN,CICIDS
Value,0.969550500121981,0.8307121382614987,0.6603346910628153,0.6709960747314265,0.9875057213335796,0.9815841924617452,0.9812467773866436,0.9814154559229876,0.7058823529411765,0.0206896551724137,0.0402010050251256,0.9956805731142014,0.976141293121256,0.9858141232919578,0.9689137268599372,0.8902439024390244,0.927914366950995,0.9941855703873556,0.9408664651631404,0.966791431074301,0.9209302325581395,0.8953488372093024,0.9079593842122504,0.9177914110429448,0.90392749244713,0.910806697108067,0.959496442255063,0.9954571266325952,0.9771460423634336,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.7243395409268082,0.989937851435336,0.8365637113917719,0.9865016872890888,0.9022633744855968,0.9425040300913486,0.8387096774193549,0.0546218487394958,0.1025641025641025,0.0,0.0,0.0,0.8,0.0209424083769633,0.0408163265306122,LogisticRegression,CICIDS
Value,0.9719342115963244,0.5685293266224235,0.5796839050480583,0.5724507591809015,0.9895919202301516,0.9832447791241417,0.9824498863730402,0.9828471720281856,0.0,0.0,0.0,0.9928065054211844,0.983577773187358,0.988170592508042,0.9844559585492229,0.975609756097561,0.980012894906512,0.9956357532522032,0.9193985894753158,0.9559996776533162,0.9411027568922306,0.9702842377260982,0.9554707379134858,0.9524940617577196,0.9691842900302114,0.9607666966157532,0.9460334592552616,0.9954571266325952,0.9701162147205312,0.0,0.0,0.0,0.0,0.0,0.0,0.7333042815121473,0.9960047351287364,0.844701010227772,0.9988623435722412,0.9032921810699588,0.9486763911399244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LSTM,CICIDS
Value,0.9971842725868098,0.9387046046488988,0.8588080404175408,0.87729246325346,0.9940374596906352,0.999000515657527,0.998924204133857,0.9989623584383176,0.8945578231292518,0.906896551724138,0.9006849315068494,0.9998966301426504,0.9990704399917372,0.9994833643314736,0.9958319974350752,0.996790757381258,0.9963111467522052,0.9979802687796162,0.9956599240486708,0.996818746120422,0.9928802588996763,0.9909560723514212,0.9919172324603944,0.99455205811138,0.992749244712991,0.9936498336861204,1.0,0.9982964224872232,0.9991474850809888,1.0,1.0,1.0,1.0,0.6666666666666666,0.8000000000000002,0.9874140201961072,0.9983722994968924,0.9928629239938194,1.0,0.9938271604938272,0.9969040247678018,0.743455497382199,0.8949579831932774,0.8122020972354624,1.0,0.25,0.4,0.475,0.1989528795811518,0.2804428044280442,RandomForest,CICIDS
Value,0.9586682640284432,0.8309613348208182,0.6259629545132025,0.6343626728999879,0.9874352052075016,0.9702353163838244,0.9782832716308538,0.9742426737954364,1.0,0.0253164556962025,0.0493827160493827,0.9903867650346524,0.9393553859202716,0.964196321688976,0.9859203296703296,0.9490909090909092,0.9671551288529562,0.9896907216494848,0.9155514536225196,0.9511785856971634,0.974476439790576,0.973839110529758,0.974157670919202,0.9871134020618556,0.9245624622812312,0.9548145839825491,0.9322296947749612,0.9852378348824494,0.9580010632642212,1.0,0.75,0.8571428571428571,0.0,0.0,0.0,0.6798218984011334,0.9844665885111372,0.8042619418173111,1.0,0.9064824654622742,0.9509476031215164,0.9545454545454546,0.0465631929046563,0.0887949260042283,0.0,0.0,0.0,1.0,0.0106951871657754,0.0211640211640211,SVM,CICIDS
Value,0.9677893998536228,0.9420690372747887,0.6078746638744544,0.6252120638147192,,0.9711315429114384,0.994675978932906,0.9827627653105956,0.7559322033898305,0.5732647814910026,0.652046783625731,0.9951534733441034,0.9647611589663272,0.9797216699801192,0.980225988700565,0.9724427837459132,0.9763188745603752,1.0,0.8884244746313712,0.9409160774669536,0.9496314496314496,0.7608267716535433,0.8448087431693988,0.6355983162958508,0.9860074626865672,0.7729433272394882,0.9952774498229044,0.7260981912144703,0.8396414342629482,1.0,0.0,0.0,1.0,0.0,0.0,0.909316427783903,0.7381964645334527,0.8148697048289489,0.9966996699669964,0.9055472263868066,0.9489395129615084,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Transformer,CICIDS
